Date,Region,Ad_Spend,Leads,Conversion_Rate,Discount_Percent,Revenue
26-01-2024,Pune,168161.37,141,0.1356,15.42,766.87
27-01-2024,Mumbai,169289.04,157,0.1577,22.67,5568.54
27-01-2024,Delhi,173507.1,160,0.1781,16.41,9496.92
27-01-2024,Bangalore,142347.09,163,0.1684,24.82,10734.17
27-01-2024,Pune,141261.77,157,0.135,17.03,5365.94
28-01-2024,Mumbai,186711.66,144,0.1343,18.92,-1221.39
28-01-2024,Delhi,173990.88,142,0.1262,23.15,-1795.32
28-01-2024,Bangalore,150525.24,155,0.1434,11.66,6005.42
28-01-2024,Pune,109998.49,143,0.1207,23.2,3932.91
29-01-2024,Mumbai,109128.67,146,0.1774,18.86,13102.85
29-01-2024,Delhi,148252.09,154,0.125,7.74,3650.1
29-01-2024,Bangalore,160244.09,159,0.1604,20.3,7441.91
29-01-2024,Pune,179157.9,164,0.1268,23.69,511.94
30-01-2024,Mumbai,197424.82,153,0.153,14.39,2223.29
30-01-2024,Delhi,188770.42,150,0.1623,24.4,3035
30-01-2024,Bangalore,168803,151,0.172,21.93,6900.42
30-01-2024,Pune,142609.15,147,0.1244,21.62,1859.32
31-01-2024,Mumbai,170624.22,144,0.1508,10.43,3609.58
31-01-2024,Delhi,158130.54,152,0.1422,21.44,3662.88
31-01-2024,Bangalore,194724.86,164,0.1555,12.65,4766.28
31-01-2024,Pune,170818.12,158,0.1666,16.61,7584.57
01-02-2024,Mumbai,142422.2,158,0.1267,15.36,4235.94
01-02-2024,Delhi,101135.36,159,0.1271,8.23,9276.69
01-02-2024,Bangalore,164921.03,140,0.1609,10.51,4977.37
01-02-2024,Pune,140022.29,156,0.125,16.04,3889.73
02-02-2024,Mumbai,143633.58,151,0.1787,16.56,10960.01
02-02-2024,Delhi,132268.64,155,0.1517,24.87,7794.12
02-02-2024,Bangalore,107379.66,142,0.1617,7.43,11483.61
02-02-2024,Pune,116621.54,156,0.1617,14.64,12106.43
03-02-2024,Mumbai,162755.81,161,0.1431,20,4755.32
03-02-2024,Delhi,191525.43,149,0.177,22.92,4932.63
03-02-2024,Bangalore,145565.68,160,0.1366,9.57,6348.86
03-02-2024,Pune,146369.84,157,0.136,12.85,5423.5
04-02-2024,Mumbai,125994.99,161,0.1219,11.32,5901.12
04-02-2024,Delhi,141120.67,152,0.1611,9.09,9463.71
04-02-2024,Bangalore,191092.72,145,0.177,19.79,4575.12
04-02-2024,Pune,161341.52,141,0.125,22.66,-779.76
05-02-2024,Mumbai,155158.79,144,0.1216,13.15,676.65
05-02-2024,Delhi,181055.33,154,0.129,17.29,35.47
05-02-2024,Bangalore,138089.09,161,0.1697,16.81,11839.56
05-02-2024,Pune,106351.18,148,0.1449,11.19,9689.01
06-02-2024,Mumbai,105637.55,145,0.1615,16.15,11238.9
06-02-2024,Delhi,174991.07,142,0.1533,20.61,2212.09
06-02-2024,Bangalore,194476.57,149,0.1427,10.58,752.27
06-02-2024,Pune,120504.53,140,0.1772,17.52,11011.84
07-02-2024,Mumbai,122864.28,156,0.1654,6.89,12829.98
07-02-2024,Delhi,126867.25,146,0.1603,15.89,9127.67
07-02-2024,Bangalore,177231.84,157,0.1711,16.49,7495.74
07-02-2024,Pune,156093.8,164,0.1554,15.12,8363.7
08-02-2024,Mumbai,142053.58,144,0.1572,19.38,6496.37
08-02-2024,Delhi,121296.42,145,0.157,24.63,8177.67
08-02-2024,Bangalore,160808.78,157,0.1435,14.31,5022.86
08-02-2024,Pune,190415.87,159,0.1528,14.57,3804.32
09-02-2024,Mumbai,191047.13,162,0.1514,19.26,3499.18
09-02-2024,Delhi,179647.18,149,0.1756,15.35,6663.95
09-02-2024,Bangalore,125824.44,163,0.1228,17.8,5646.55
09-02-2024,Pune,134741.34,150,0.1548,12.49,8493.75
10-02-2024,Mumbai,153726.34,162,0.1277,8.89,4423.36
10-02-2024,Delhi,113882.72,147,0.1308,19.23,5916.57
10-02-2024,Bangalore,141166.12,142,0.1509,24.49,4864.29
10-02-2024,Pune,160193.54,158,0.1225,9.21,2407.1
11-02-2024,Mumbai,127859.03,161,0.1253,8.29,6561.75
11-02-2024,Delhi,146077.88,153,0.1419,15.56,5539.72
11-02-2024,Bangalore,169039.48,148,0.1255,15.14,161.42
11-02-2024,Pune,168778.47,163,0.1724,23.5,8876.09
12-02-2024,Mumbai,106107.8,143,0.1684,20.22,11444.73
12-02-2024,Delhi,118452.1,154,0.1522,23.56,9237.21
12-02-2024,Bangalore,123611.65,162,0.1519,19.69,10273.76
12-02-2024,Pune,106234.14,163,0.128,19.06,8332.86
13-02-2024,Mumbai,184444.07,150,0.1519,8.04,3540.99
13-02-2024,Delhi,144741.24,142,0.1438,7.99,5150.46
13-02-2024,Bangalore,173740.52,149,0.1538,21.97,3350.45
13-02-2024,Pune,108920.43,151,0.134,12.52,8089.34
14-02-2024,Mumbai,147396.99,149,0.1674,15.47,8648.45
14-02-2024,Delhi,108692.03,154,0.1642,16.6,12759.33
14-02-2024,Bangalore,158653.54,151,0.1277,11.39,2271.35
14-02-2024,Pune,136308.23,141,0.1347,15.47,3809.73
15-02-2024,Mumbai,133034.85,164,0.1342,7.93,7917.44
15-02-2024,Delhi,115285.91,162,0.1493,22.17,10436.37
15-02-2024,Bangalore,108788.76,163,0.1738,7.52,16699.05
15-02-2024,Pune,152451.14,147,0.1618,24.95,6047.3
16-02-2024,Mumbai,189661.03,159,0.1782,22.44,7118.18
16-02-2024,Delhi,181707.21,156,0.1494,19.74,3169.19
16-02-2024,Bangalore,182086.15,141,0.1534,16.86,1735.54
16-02-2024,Pune,127997.91,151,0.1323,24.39,4739.02
17-02-2024,Mumbai,171095.25,159,0.1505,10.61,5752.5
17-02-2024,Delhi,111483.68,153,0.1373,17.04,8156.91
17-02-2024,Bangalore,115436.27,143,0.1392,17.28,6639.1
17-02-2024,Pune,136923.05,163,0.1281,7.2,6461.86
18-02-2024,Mumbai,198996.02,152,0.1611,7.67,3816.74
18-02-2024,Delhi,113882.48,148,0.1656,17.32,11390.86
18-02-2024,Bangalore,147157.62,162,0.1677,8.03,11642
18-02-2024,Pune,185072.75,151,0.1445,23.73,941.32
19-02-2024,Mumbai,199092.95,141,0.1309,7.26,-2182.41
19-02-2024,Delhi,174112.06,161,0.1229,20.85,288.51
19-02-2024,Bangalore,182794.09,144,0.1321,9.11,-168.3
19-02-2024,Pune,116426.58,144,0.1341,18.04,5869.58
20-02-2024,Mumbai,190786.61,164,0.1726,13.46,7887.35
20-02-2024,Delhi,181659.94,146,0.1628,23.09,3297.37
20-02-2024,Bangalore,162410.15,140,0.1649,15.55,5283.73
20-02-2024,Pune,123221.27,140,0.1435,16.11,6155.79
21-02-2024,Mumbai,106661.91,147,0.1575,8.22,11657.48
21-02-2024,Delhi,193983.21,146,0.1638,19.18,2603.23
21-02-2024,Bangalore,116673.08,154,0.1572,16.14,10928.59
21-02-2024,Pune,189389.26,143,0.1799,20.3,4751.71
22-02-2024,Mumbai,170698.05,162,0.1286,9.89,2772.76
22-02-2024,Delhi,171406.41,144,0.1726,12.5,6464.66
22-02-2024,Bangalore,182125.73,154,0.1708,8.42,7246.42
22-02-2024,Pune,139728.73,147,0.129,10.36,3953.82
23-02-2024,Mumbai,172225.26,141,0.1207,17.37,-1936.33
23-02-2024,Delhi,156550.83,150,0.1559,21.71,5565.26
23-02-2024,Bangalore,195907.48,147,0.155,13.62,1833.15
23-02-2024,Pune,146200.58,153,0.1569,23.33,7052.67
24-02-2024,Mumbai,113911.62,157,0.1567,6.34,12574.33
24-02-2024,Delhi,187212.39,151,0.1261,23.46,-2020.82
24-02-2024,Bangalore,179008.46,144,0.1624,8.9,4599.87
24-02-2024,Pune,157628.84,148,0.1454,19.99,3764.15
25-02-2024,Mumbai,193436.7,161,0.1746,8.33,7940.22
25-02-2024,Delhi,123590.6,153,0.1312,21.91,5520.13
25-02-2024,Bangalore,133214.64,161,0.1511,17.23,9287.09
25-02-2024,Pune,139900.27,148,0.1647,9.91,9388.31
26-02-2024,Mumbai,178778.99,148,0.1269,13.88,-490.76
26-02-2024,Delhi,186351.81,145,0.1408,12.59,518.82
26-02-2024,Bangalore,173750.12,156,0.1552,6.62,6177.54
26-02-2024,Pune,191274.95,161,0.1306,15.47,349.5
27-02-2024,Mumbai,141892.54,163,0.1387,20.83,6334.01
27-02-2024,Delhi,127758.72,157,0.1598,9.38,11376.38
27-02-2024,Bangalore,196107.03,156,0.1534,22.35,2090.47
27-02-2024,Pune,153506.97,147,0.1501,17.31,4987.43
28-02-2024,Mumbai,106707.65,162,0.1456,21.2,10798.04
28-02-2024,Delhi,134938.7,156,0.1222,14.97,4071.31
28-02-2024,Bangalore,156484.11,157,0.1376,19.57,4004.78
28-02-2024,Pune,152764.77,161,0.1464,13.61,6939.84
29-02-2024,Mumbai,155964.03,143,0.1309,22.37,887.15
29-02-2024,Delhi,194611.55,149,0.1362,18.24,-984.3
29-02-2024,Bangalore,140873.42,162,0.1787,21.96,12672.27
29-02-2024,Pune,186699.38,147,0.1216,10.22,-1812.7
01-03-2024,Mumbai,123107.48,147,0.1262,21.2,4127.65
01-03-2024,Delhi,117854.47,140,0.1534,19.7,7721.47
01-03-2024,Bangalore,180531.5,163,0.1633,22.26,6344.8
01-03-2024,Pune,183021.99,143,0.1767,8.68,6092.78
02-03-2024,Mumbai,140639.23,162,0.1738,6.25,13463.76
02-03-2024,Delhi,108550.85,162,0.1709,8.33,15995.44
02-03-2024,Bangalore,187644.41,157,0.1736,21.53,6331.38
02-03-2024,Pune,134181.74,149,0.1695,12.9,10548.47
03-03-2024,Mumbai,103422.81,159,0.1574,13.78,13314.22
03-03-2024,Delhi,155204.72,141,0.1717,10.17,7667.09
03-03-2024,Bangalore,197454.73,151,0.1284,22.5,-2606.14
03-03-2024,Pune,148743.12,153,0.1483,9.46,6864.07
04-03-2024,Mumbai,148477.84,156,0.1361,16.29,4757.93
04-03-2024,Delhi,163347.82,146,0.1331,18.26,1269.5
04-03-2024,Bangalore,142170.39,152,0.1615,18.98,8428.85
04-03-2024,Pune,182258.39,160,0.1689,15.46,7252.31
05-03-2024,Mumbai,106717.54,144,0.1591,21.77,10060.01
05-03-2024,Delhi,120642.13,149,0.1284,11.01,5966.55
05-03-2024,Bangalore,126649.84,147,0.135,18.03,5383.57
05-03-2024,Pune,149427.39,149,0.1749,13.96,9716.44
06-03-2024,Mumbai,138313.85,153,0.1228,9.16,4043.82
06-03-2024,Delhi,173803.36,158,0.1254,20.65,371.18
06-03-2024,Bangalore,106824.97,150,0.1373,12.76,8639.97
06-03-2024,Pune,171904.59,146,0.1566,24.04,3273
07-03-2024,Mumbai,139664.94,163,0.1762,19.92,12763.81
07-03-2024,Delhi,121494.04,143,0.1524,9.08,8734.62
07-03-2024,Bangalore,184152.97,156,0.1498,17.34,3216.69
07-03-2024,Pune,133424.39,141,0.1264,7.43,3736.62
08-03-2024,Mumbai,172818.88,164,0.1623,17.37,7597.84
08-03-2024,Delhi,145968.15,142,0.1691,21.19,7303.05
08-03-2024,Bangalore,169469.65,145,0.1554,12.86,4302.19
08-03-2024,Pune,109158.21,156,0.1282,24.05,6679.35
09-03-2024,Mumbai,144600.58,154,0.1252,24.21,2400.57
09-03-2024,Delhi,175839.24,160,0.1655,19.76,6927.02
09-03-2024,Bangalore,163723.16,147,0.135,15.3,1939.85
09-03-2024,Pune,122120.94,148,0.1766,6.75,13256.24
10-03-2024,Mumbai,170557.52,146,0.18,16.56,7562.55
10-03-2024,Delhi,147321.01,146,0.122,19.25,1160.17
10-03-2024,Bangalore,129734.9,155,0.1269,14.01,5297.28
10-03-2024,Pune,179534.18,159,0.1707,12.06,7977.29
11-03-2024,Mumbai,182891.55,156,0.159,12.93,5223.49
11-03-2024,Delhi,156067.72,152,0.1246,19.23,1412.09
11-03-2024,Bangalore,133987.5,162,0.1443,16.88,8285.24
11-03-2024,Pune,180397.7,143,0.1674,12.06,4699.01
12-03-2024,Mumbai,162589.14,155,0.1456,22.66,4044.82
12-03-2024,Delhi,141750.61,142,0.1722,6.4,9637.77
12-03-2024,Bangalore,187470.17,152,0.143,23.72,622.81
12-03-2024,Pune,107002.97,153,0.141,20.58,8821.58
13-03-2024,Mumbai,140193.09,160,0.1488,17.03,8083.15
13-03-2024,Delhi,127168.7,164,0.1661,13.94,13129.18
13-03-2024,Bangalore,142135.7,144,0.1639,6.06,8786.9
13-03-2024,Pune,146731.08,163,0.1372,11.63,6533.1
14-03-2024,Mumbai,123360.78,164,0.1366,23.3,7742.57
14-03-2024,Delhi,104510.07,154,0.1431,18.91,9688.84
14-03-2024,Bangalore,121825.39,144,0.1672,7.7,11121.6
14-03-2024,Pune,141758.08,163,0.1731,17.42,12290.14
15-03-2024,Mumbai,190372.4,141,0.13,24.83,-3187.35
15-03-2024,Delhi,123167.17,159,0.1703,10.38,13718.06
15-03-2024,Bangalore,183064.25,153,0.1338,9.35,1235.72
15-03-2024,Pune,122048.62,156,0.1774,21.7,13305.4
16-03-2024,Mumbai,180076.97,161,0.1781,22.79,8394.64
16-03-2024,Delhi,192775.23,156,0.1304,13.53,-282.72
16-03-2024,Bangalore,175823.85,156,0.1292,21.5,428
16-03-2024,Pune,122444.06,163,0.1649,6.66,13963.53
17-03-2024,Mumbai,189492.14,144,0.1255,22.67,-3145.94
17-03-2024,Delhi,126560,148,0.1227,22.19,3278.9
17-03-2024,Bangalore,103542.24,154,0.1593,16.47,12533.58
17-03-2024,Pune,108698.68,163,0.1352,6.1,10551.38
18-03-2024,Mumbai,169571.43,155,0.1498,7.54,5500.51
18-03-2024,Delhi,122018.32,152,0.1737,24.84,11712.02
18-03-2024,Bangalore,106151.7,152,0.1488,17.26,10282.2
18-03-2024,Pune,182468.1,163,0.1597,16.33,6155.47
19-03-2024,Mumbai,186449.29,140,0.1727,21.15,3420.45
19-03-2024,Delhi,165845.18,140,0.1294,9.05,632.38
19-03-2024,Bangalore,133400.89,152,0.1618,18.92,9368.58
19-03-2024,Pune,161861.14,145,0.1314,22.75,585
20-03-2024,Mumbai,196131.53,164,0.1218,21.69,-1814.41
20-03-2024,Delhi,112886.99,150,0.1337,23.27,6442.4
20-03-2024,Bangalore,100112.01,141,0.1699,15.64,12384.47
20-03-2024,Pune,100638.59,152,0.157,24.64,11338.26
21-03-2024,Mumbai,163181.35,141,0.158,16.26,4339.58
21-03-2024,Delhi,177984.54,145,0.137,6.35,1431.62
21-03-2024,Bangalore,143224.08,141,0.1405,18.02,3687.85
21-03-2024,Pune,193202.81,161,0.1762,19.07,7146.36
22-03-2024,Mumbai,106783.71,156,0.1663,19.46,13311.76
22-03-2024,Delhi,147357.39,161,0.1573,6.87,9895.4
22-03-2024,Bangalore,187153.68,154,0.1781,20.24,6692.72
22-03-2024,Pune,113008.62,151,0.1215,6.42,6399.86
23-03-2024,Mumbai,132361.02,154,0.1691,10.8,11729.71
23-03-2024,Delhi,100102.95,141,0.1364,24.95,6730.05
23-03-2024,Bangalore,142618.13,152,0.1713,16.01,10167.23
23-03-2024,Pune,182592.08,150,0.1332,7.57,971.19
24-03-2024,Mumbai,168049.93,161,0.1279,22.49,1534.4
24-03-2024,Delhi,196323.67,163,0.1459,23.93,1763
24-03-2024,Bangalore,141972.73,159,0.1439,11.21,7554.77
24-03-2024,Pune,198397.76,140,0.1392,19.76,-2321.94
25-03-2024,Mumbai,174583.7,142,0.1219,18.38,-1991.27
25-03-2024,Delhi,136852.63,154,0.1483,16.32,7519.55
25-03-2024,Bangalore,115924.57,164,0.1721,20.76,14559.26
25-03-2024,Pune,177092.18,153,0.1518,6.34,4885.5
26-03-2024,Mumbai,179679.78,151,0.122,23.5,-1902.9
26-03-2024,Delhi,161665.03,153,0.1477,6.02,5833.21
26-03-2024,Bangalore,159832.73,151,0.1349,16.61,2718.46
26-03-2024,Pune,122554.01,161,0.1549,11.11,11575.35
27-03-2024,Mumbai,179755.91,150,0.1791,8.84,7999.37
27-03-2024,Delhi,146459.86,157,0.1488,17.4,6975
27-03-2024,Bangalore,129166.26,152,0.1654,24.1,9817.72
27-03-2024,Pune,190781.87,150,0.1488,7.99,2447.01
28-03-2024,Mumbai,124204.5,164,0.1543,6.35,12242.35
28-03-2024,Delhi,148235.64,159,0.1408,20.74,5483.41
28-03-2024,Bangalore,194123.75,140,0.1511,7.67,969.46
28-03-2024,Pune,135062.69,140,0.1695,12.8,8939.83
29-03-2024,Mumbai,132209.47,145,0.1541,19.1,7206.67
29-03-2024,Delhi,180058.67,141,0.1225,18.74,-2611.19
29-03-2024,Bangalore,195155,142,0.1738,17.3,3430.23
29-03-2024,Pune,161660.46,148,0.1625,22.55,5635.57
30-03-2024,Mumbai,171408.69,159,0.1404,21.48,3029.32
30-03-2024,Delhi,108011.48,159,0.1532,17.35,11819.28
30-03-2024,Bangalore,178383.26,142,0.1224,9.12,-1362.7
30-03-2024,Pune,143860.72,157,0.1236,10.69,3952.95
31-03-2024,Mumbai,115954.47,152,0.1569,12.25,11034.99
31-03-2024,Delhi,147018.26,152,0.1309,21,3098.66
31-03-2024,Bangalore,165870.78,158,0.1297,6.4,3265.94
31-03-2024,Pune,165326.3,144,0.1798,24.52,6903.59
01-04-2024,Mumbai,165032.57,149,0.1442,10.19,3962.83
01-04-2024,Delhi,141839.98,154,0.1355,14.79,5198.01
01-04-2024,Bangalore,186827.25,163,0.1455,12.57,3781.32
01-04-2024,Pune,137103.88,159,0.1503,16.32,8553.56
02-04-2024,Mumbai,151399.59,148,0.1463,19.78,4536.96
02-04-2024,Delhi,148666.89,141,0.1559,21.07,5003.44
02-04-2024,Bangalore,165500.93,158,0.1555,23.33,5691.9
02-04-2024,Pune,121066.22,152,0.1479,21.88,8193.19
03-04-2024,Mumbai,123579.21,147,0.1443,17.44,7113.39
03-04-2024,Delhi,163254.05,153,0.1783,9.44,10008.15
03-04-2024,Bangalore,185438.51,152,0.1462,7.85,2898.05
03-04-2024,Pune,140502.08,153,0.1509,12.83,7753.27
04-04-2024,Mumbai,159295.09,145,0.1591,11.93,5950.88
04-04-2024,Delhi,139904.59,142,0.1594,12.18,7427.08
04-04-2024,Bangalore,177347.31,163,0.1438,10.5,4654.25
04-04-2024,Pune,123467.4,149,0.1244,9.23,5267.78
05-04-2024,Mumbai,151977.39,149,0.1602,8.77,7789.67
05-04-2024,Delhi,144943.38,147,0.157,19.43,6646
05-04-2024,Bangalore,116704.19,159,0.1428,17.51,9278.14
05-04-2024,Pune,135673.21,151,0.1485,22.04,6648.91
06-04-2024,Mumbai,180567.02,154,0.1721,9.91,7455.03
06-04-2024,Delhi,111191.96,157,0.1792,8.34,16181.81
06-04-2024,Bangalore,123113.09,140,0.1273,14.59,4055.24
06-04-2024,Pune,193387.5,144,0.1262,17.11,-2877.04
07-04-2024,Mumbai,168820.79,159,0.1792,24.34,9176.65
07-04-2024,Delhi,100494,141,0.1394,24.49,7155.4
07-04-2024,Bangalore,158011.22,163,0.1509,15.29,7272.6
07-04-2024,Pune,166686.43,159,0.1275,8.52,2758.77
08-04-2024,Mumbai,114354.24,157,0.1321,18.8,7426.51
08-04-2024,Delhi,196991.2,140,0.1638,8.97,2343.14
08-04-2024,Bangalore,123456.13,154,0.1306,19.16,5855.26
08-04-2024,Pune,183811.53,150,0.161,15.45,4223.45
09-04-2024,Mumbai,161784.72,147,0.1719,20.6,7027.19
09-04-2024,Delhi,111310.98,164,0.1614,18.85,13448.47
09-04-2024,Bangalore,121567.52,155,0.1696,18.67,12265.6
09-04-2024,Pune,157718.52,141,0.18,6.92,8911.58
10-04-2024,Mumbai,197717.42,148,0.1796,20.3,4779.48
10-04-2024,Delhi,109048.17,148,0.1265,18.36,5988.1
10-04-2024,Bangalore,176519.09,143,0.1601,21.35,3101.14
10-04-2024,Pune,176228.51,148,0.139,22.51,702.94
11-04-2024,Mumbai,137567.23,161,0.1589,12.24,10609.41
11-04-2024,Delhi,163020.87,146,0.1538,13.23,4830.84
11-04-2024,Bangalore,154849.97,140,0.1343,13.09,2001.2
11-04-2024,Pune,122726.96,150,0.1562,18.7,9288.74
12-04-2024,Mumbai,161949.03,153,0.15,16.3,5128.69
12-04-2024,Delhi,195147.86,141,0.1488,6.49,810.37
12-04-2024,Bangalore,134124.78,151,0.1289,16.01,4456.8
12-04-2024,Pune,124606.97,143,0.1565,20.53,7861.85
13-04-2024,Mumbai,181298.57,157,0.1629,15.9,5859.72
13-04-2024,Delhi,182239.34,150,0.1205,18.3,-1986.07
13-04-2024,Bangalore,189803.05,164,0.1593,13.22,5819.73
13-04-2024,Pune,119715.41,152,0.1411,7.93,8682.56
14-04-2024,Mumbai,148587.18,155,0.1514,18.73,6732.79
14-04-2024,Delhi,192960.59,142,0.1549,7.7,1923.19
14-04-2024,Bangalore,171763.58,141,0.1364,13.86,664.3
14-04-2024,Pune,112188.61,150,0.1274,22.33,5657.25
15-04-2024,Mumbai,179978.11,146,0.1377,21.07,1.35
